,sitename,exp_et,beta_et,rwsc,sitename.1,exp_et.1,beta_et.1,rwsc.1
1,AT-Neu,0.261250532,0.514086533,328.2183538,AT-Neu,0.691918287,0.544319353,328.1438153
2,AU-DaS,0.900467972,0.485144727,551.3136597,AU-DaS,0.87247276,0.495982757,631.822272
3,DE-Hai,0.60946276,0.423408607,607.8691973,DE-Hai,0.60946276,0.416273459,607.8691973
4,DE-Tha,1.5,0.350207719,339.8894174,DE-Tha,0.973167089,0.366051946,110.7589029
5,FR-LBr,0.60823566,0.419880532,194.5102817,FR-LBr,0.622820788,0.408670442,344.5637919
6,FR-Pue,1.5,0.330421355,111.3799768,FR-Pue,1.495740702,0.327428648,128.1096666
7,GF-Guy,0.084895018,0.628560611,70.43790546,GF-Guy,0.071079666,0.614868381,63.92511621
8,NL-Loo,0.361740912,0.398039531,45.24498163,NL-Loo,0.425869858,0.384516405,47.25490504
9,US-Me2,1.029726497,0.302360721,220.303984,US-Me2,1.367592994,0.287539572,149.8078343
10,US-NR1,0.01,0.324721627,981.1328127,US-NR1,0.01,0.318770604,981.1328127
11,US-SRM,1.5,0.247910398,27.12585429,US-SRM,1.355689133,0.231339939,30.30542666
12,US-Ton,1.182059452,0.165044504,178.1546752,US-Ton,1.413167249,0.169117909,294.1071179
13,US-Wkg,1.5,0.225319752,62.14261978,US-Wkg,1.5,0.231713994,62.14261978
