AT-Neu,AU-DaS,DE-Hai,DE-Tha,FR-LBr,FR-Pue,GF-Guy,NL-Loo,US-Me2,US-NR1,US-SRM,US-Ton,US-Wkg
350,596,353,329,330,119,63,20,353,24,39,292,46
336,579,351,49,168,119,71,20,353,24,21,292,46
351,608,351,331,222,119,62,21,353,24,20,135,47
349,590,348,330,229,107,63,20,312,24,21,285,49
349,601,349,50,84,122,69,20,260,24,21,166,49
348,594,349,332,232,117,64,20,303,24,21,293,47
351,587,351,330,195,122,64,20,354,24,20,141,49
336,574,349,102,78,116,71,20,284,24,40,190,46
336,583,346,331,112,109,66,20,275,24,47,239,49
351,576,351,328,178,119,61,20,323,24,20,198,49
