"","sitename","exp_et","beta_et","rwsc","sitename.1","exp_et.1","beta_et.1","rwsc.1","sitename.2","exp_et.2","beta_et.2","rwsc.2","sitename.3","exp_et.3","beta_et.3","rwsc.3","sitename.4","exp_et.4","beta_et.4","rwsc.4","sitename.5","exp_et.5","beta_et.5","rwsc.5","sitename.6","exp_et.6","beta_et.6","rwsc.6","sitename.7","exp_et.7","beta_et.7","rwsc.7","sitename.8","exp_et.8","beta_et.8","rwsc.8","sitename.9","exp_et.9","beta_et.9","rwsc.9"
"1","AT-Neu",0.01,0.507087411856291,775.900429680943,"AT-Neu",0.258786140300228,0.520365378326306,332.053959026387,"AT-Neu",0.20015656220101,0.528532763834743,327.43066249782,"AT-Neu",0.01,0.526370390356888,776.461404845119,"AT-Neu",0.126585051100447,0.520649389777377,113.006963998079,"AT-Neu",0.74353676244094,0.539035887277176,327.902418229775,"AT-Neu",0.542397617087244,0.515239173399503,346.888665316867,"AT-Neu",0.257731775489049,0.503768924982024,328.218353848904,"AT-Neu",0.0519081706805895,0.509977347349955,74.9251402039081,"AT-Neu",0.0347576167123011,0.506538427219631,155.232889190316
"2","AU-DaS",0.828174443539854,0.485550504544084,588.207933899692,"AU-DaS",0.902364672696139,0.502473177245094,631.822273954749,"AU-DaS",0.861588989622371,0.492370401276758,631.822273954749,"AU-DaS",0.763750956902513,0.477711033331739,631.822272956371,"AU-DaS",0.866104851640986,0.490252181983476,631.822273954749,"AU-DaS",0.749272227445602,0.473703838706018,427.776085651793,"AU-DaS",0.864438952098052,0.492648884968761,631.822273954749,"AU-DaS",0.797043958413364,0.477758147599701,631.822273954749,"AU-DaS",0.859147408514549,0.48860605153941,588.207933899692,"AU-DaS",0.981508760307079,0.50269797877009,631.822272956371
"3","DE-Hai",0.609462760388851,0.410988844198117,607.869197264314,"DE-Hai",0.609462760388851,0.408500316802401,607.869197264314,"DE-Hai",0.510810830260862,0.406183076217501,845.671373647505,"DE-Hai",1.46950794105006,0.440728862021487,352.762818811528,"DE-Hai",0.609462760388851,0.393624027026749,607.869197264314,"DE-Hai",0.131095626409166,0.417216215857439,352.292864084049,"DE-Hai",0.609462760388851,0.411881484374632,607.869197264314,"DE-Hai",0.13530304047689,0.415185104400381,352.292864084049,"DE-Hai",1.3357138992255,0.441089862366768,350.408663508615,"DE-Hai",0.126650737491726,0.411796841696737,352.292864084049
"4","DE-Tha",1.079862689802,0.379916667177486,110.758902893402,"DE-Tha",1.42602473800071,0.36609859806595,137.931323932353,"DE-Tha",0.615059606486166,0.364213041703065,69.8681090735259,"DE-Tha",1.48489660111503,0.335220997539369,339.88941635914,"DE-Tha",0.530847611498109,0.342853016507628,49.1199994297858,"DE-Tha",0.742810209413676,0.361286931579399,51.3550681769848,"DE-Tha",1.5,0.34901830125031,339.88941635914,"DE-Tha",1.0340272018136,0.367270073341082,98.7372893695665,"DE-Tha",1.02808053617681,0.367618678464237,147.571789615271,"DE-Tha",1.48669843343021,0.342161148384326,339.88941735914
"5","FR-LBr",0.519869100642617,0.403832782743863,194.510461650789,"FR-LBr",0.583531571482932,0.410397133306892,203.805877613592,"FR-LBr",0.581848055746157,0.421614552485344,248.924754147047,"FR-LBr",0.623096396698826,0.420124118951082,248.64270446133,"FR-LBr",0.52451965194245,0.405770922413506,329.034991919994,"FR-LBr",0.654406419620568,0.417103126215688,362.201592624187,"FR-LBr",0.699024230042355,0.438064106180254,194.510461650789,"FR-LBr",0.570578523132939,0.412205686682241,181.392945572734,"FR-LBr",0.595165527100825,0.420516470673193,161.061811253428,"FR-LBr",0.601551404062272,0.418307056142075,175.51538277532
"6","FR-Pue",1.49999740450087,0.336911261580137,116.092552896668,"FR-Pue",1.21924748088844,0.326426483861682,109.726038050428,"FR-Pue",1.44352960771999,0.329494942251954,109.786370918131,"FR-Pue",1.25011583064765,0.306302604028322,114.926637892509,"FR-Pue",1.5,0.329847942861118,129.216420489363,"FR-Pue",1.40490003410369,0.326960183201763,127.363477578619,"FR-Pue",1.16118961617895,0.338487746805122,95.2260606692699,"FR-Pue",1.46244813856509,0.326372941482885,127.102060585154,"FR-Pue",1.40486692244763,0.325456114040989,107.155762890475,"FR-Pue",1.42542045811482,0.333166103559563,108.57388515635
"7","GF-Guy",0.0769736107349892,0.627976839988296,74.6428094059229,"GF-Guy",0.0934884052359034,0.634497210252371,59.276738189189,"GF-Guy",0.0795988412830788,0.621705500722023,52.3015175275505,"GF-Guy",0.0970103816000828,0.63612050197757,52.3015175275505,"GF-Guy",0.0894919072997996,0.625665269418644,58.1578701920672,"GF-Guy",0.0885395720968988,0.626403811145864,58.6112687844938,"GF-Guy",0.0764475024561717,0.633601241982603,102.478065360337,"GF-Guy",0.0937974563751981,0.631221757117152,55.503641256865,"GF-Guy",0.0932701260103395,0.638241334628578,52.3015175275505,"GF-Guy",0.0843367677552262,0.619659392067933,69.0111208337094
"8","NL-Loo",0.262469057301805,0.395403547095244,47.8288196816933,"NL-Loo",0.252886260993231,0.37143732107661,64.5114309264733,"NL-Loo",0.208403057377566,0.364215682779385,47.9452946859795,"NL-Loo",0.234631652491546,0.38512429942307,47.862136502927,"NL-Loo",0.241714507695126,0.401896705996632,42.8778424952179,"NL-Loo",1.20519334522334,0.418331388001644,111.081568950835,"NL-Loo",0.435406864159264,0.394838492929368,44.9499401015711,"NL-Loo",0.377418174255311,0.405741776273853,53.7270386274849,"NL-Loo",0.367068885804809,0.400286272161886,45.9835824161428,"NL-Loo",0.707245294046497,0.330730722843069,384.436674548553
"9","US-Me2",0.654547238835336,0.294928401316118,315.580315238105,"US-Me2",0.38533332727131,0.296947313761432,390.779697151993,"US-Me2",0.840414502860558,0.289678207451074,352.011896595126,"US-Me2",1.36746967707374,0.287761639397615,149.828668442173,"US-Me2",0.0984391061314004,0.294943058472242,315.580315238105,"US-Me2",0.0887781517935802,0.298566536568793,316.16738355346,"US-Me2",0.819889380250995,0.291104910222499,352.011896595126,"US-Me2",0.818806101071653,0.291102800551652,352.011896595126,"US-Me2",0.795993977732286,0.283203339736264,350.863096870566,"US-Me2",0.75868047639802,0.285553300408221,350.863096870566
"10","US-NR1",0.01,0.322493032041871,913.723885163665,"US-NR1",0.0156154902775798,0.325090099185166,63.6080555021763,"US-NR1",0.24253462995966,0.342535726104707,161.061811253428,"US-NR1",0.01,0.314245622709237,913.723885163665,"US-NR1",0.01,0.327013879193552,899.90616549924,"US-NR1",0.0393341308279523,0.344381779207848,20.0016046590902,"US-NR1",0.01,0.317816704429154,913.723885163665,"US-NR1",0.0116423069332265,0.32715137583156,63.6080555021763,"US-NR1",0.01,0.319267130307337,913.723885163665,"US-NR1",0.01,0.323138576930896,913.723885163665
"11","US-SRM",0.989730186059965,0.244822502748419,26.0060402850261,"US-SRM",1.2918939519289,0.241562373686759,26.0799746342249,"US-SRM",1.08255767598519,0.271149617119026,24.5056378219006,"US-SRM",1.5,0.228422177629578,40.3885690683375,"US-SRM",1.5,0.218639648040798,43.3743900073003,"US-SRM",1.5,0.247187316218247,33.7983776425772,"US-SRM",1.5,0.228055872266703,39.1502858319794,"US-SRM",1.5,0.2457508813227,26.3337763981841,"US-SRM",1.5,0.255217634277497,26.5125940498648,"US-SRM",1.5,0.257669236949381,34.7947459872005
"12","US-Ton",0.899215002412678,0.16437759137141,178.154676216887,"US-Ton",1.24622658772179,0.151251516271891,178.154674216887,"US-Ton",0.891229985546369,0.170011449575721,178.154676216887,"US-Ton",0.912550970551606,0.165701007679688,178.154676216887,"US-Ton",1.16408509473449,0.167389325392932,223.738153880229,"US-Ton",1.45716319649394,0.177216551195126,178.154675216887,"US-Ton",1.48665466324603,0.181102238562347,178.154674216887,"US-Ton",1.40441366331934,0.181873084017049,142.366083580418,"US-Ton",0.892930185743041,0.16541805903584,178.154676216887,"US-Ton",1.38209118318715,0.164126052308356,240.050260816701
"13","US-Wkg",1.5,0.220412301155245,62.1426197793335,"US-Wkg",1.5,0.2253316115106,62.1426197793335,"US-Wkg",1.5,0.233304729916329,62.1426197793335,"US-Wkg",1.5,0.23994723626867,62.1426197793335,"US-Wkg",1.5,0.220557481596312,62.1426197793335,"US-Wkg",1.5,0.220567223011365,62.1426197793335,"US-Wkg",1.5,0.20172362624789,25.7660047556842,"US-Wkg",1.5,0.236449751586146,62.1426197793335,"US-Wkg",1.5,0.22478260606598,62.1426197793335,"US-Wkg",1.5,0.251254743880667,62.1426197793335
