,sitename,exp_et,beta_et,rwsc,,
1,DE-Hai,1.192407137,0.433691306,352.6743666,,
2,DE-Hai,1.401562396,0.423210854,351.3625869,,
3,DE-Hai,0.494004584,0.418311311,350.713074,,
4,DE-Hai,0.630218728,0.422275012,348.3595048,,
5,DE-Hai,1.150231218,0.42787103,349.01546,,
6,DE-Hai,0.703193182,0.406121573,349.031302,,
7,DE-Hai,0.819357283,0.427483007,350.7796414,,
8,DE-Hai,0.769662086,0.42445782,348.6403312,,
9,DE-Hai,0.742805339,0.406140339,346.229493,,
10,DE-Hai,1.033324328,0.422899533,351.1728105,,
,,,,349.797857,1.878427334,0.005370037
