,sitename,exp_et,beta_et,rwsc,sd,
1,FR-LBr,0.56669231,0.422534988,322.7456846,,
2,FR-LBr,0.559559205,0.413402308,225.9892816,,
3,FR-LBr,0.339056816,0.408915368,118.326997,,
4,FR-LBr,0.60847673,0.421200548,226.1900586,,
5,FR-LBr,0.602146263,0.410499674,213.6288087,,
6,FR-LBr,0.705902288,0.442255403,208.4089032,,
7,FR-LBr,0.254503381,0.404214604,81.83869226,,
8,FR-LBr,0.605946278,0.425170526,192.2982382,,
9,FR-LBr,0.309505972,0.398207769,129.8938046,,
10,FR-LBr,0.532311696,0.408207296,204.542919,,
,,,,192.3863388,68.09474499,0.353947923
