,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.783471747,0.537264053,337.1863646
2,AU-DaS,0.941108064,0.496169076,577.024565
3,DE-Hai,0.469462764,0.411880558,387.8691973
4,DE-Tha,1.487110753,0.336213987,337.815864
5,FR-LBr,0.609446704,0.417166542,235.0895715
6,FR-Pue,1.5,0.324866406,153.3983454
7,GF-Guy,0.081881634,0.626701881,62.00327362
8,NL-Loo,0.590259817,0.354282341,353.7756051
9,US-Me2,0.049057633,0.289666298,333.9509577
10,US-NR1,0.025809916,0.326104948,43.40414951
11,US-SRM,1.5,0.239135646,39.93142333
12,US-Ton,1.5,0.166459999,291.7299115
13,US-Wkg,1.5,0.230218422,45.84233043
